subject,proportion,k,rSquare,adjRSquare,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
xsoup,5%,0.943413117,0.95503511,0.955012605,0.529895,2191,1161,27,2031,1.2323
protoparser,1%,0.880887691,0.916906345,0.916864757,0.720659,4550,3279,166,2115,3.6484
protoparser,2%,0.965156507,0.958463063,0.958442274,0.720659,4550,3279,166,2115,3.6484
protoparser,3%,0.975769767,0.976255549,0.976243665,0.720659,4550,3279,166,2115,3.6484
protoparser,4%,0.987255429,0.981354991,0.981345659,0.720659,4550,3279,166,2115,3.6484
protoparser,5%,0.979227048,0.986829774,0.986823182,0.720659,4550,3279,166,2115,3.6484
jitescript,1%,0.439993556,0.446180975,0.445903788,0.219973,1482,326,14,1397,0.9447
jitescript,2%,0.556567924,0.643190536,0.643011952,0.219973,1482,326,14,1397,0.9447
jitescript,3%,0.561229313,0.618508144,0.618317207,0.219973,1482,326,14,1397,0.9447
jitescript,4%,0.664726277,0.731778539,0.731644294,0.219973,1482,326,14,1397,0.9447
jitescript,5%,0.761475871,0.774551655,0.774438818,0.219973,1482,326,14,1397,0.9447
gelfj,1%,0.648276803,0.676464234,0.676302304,0.34856,1007,351,28,1120,2.7805
gelfj,2%,0.768570082,0.780369772,0.780259847,0.34856,1007,351,28,1120,2.7805
gelfj,3%,0.800799458,0.820930191,0.820840566,0.34856,1007,351,28,1120,2.7805
gelfj,4%,0.845517697,0.856325901,0.856253992,0.34856,1007,351,28,1120,2.7805
gelfj,5%,0.881580394,0.890425717,0.890370875,0.34856,1007,351,28,1120,2.7805
parsii,1%,0.884581315,0.81230863,0.81221469,0.509169,2563,1305,16,1713,0.6243
parsii,2%,0.870893201,0.862934031,0.86286543,0.509169,2563,1305,16,1713,0.6243
parsii,3%,0.911651682,0.947621242,0.947595026,0.509169,2563,1305,16,1713,0.6243
parsii,4%,0.919581787,0.930764482,0.930729829,0.509169,2563,1305,16,1713,0.6243
parsii,5%,0.933483546,0.951878797,0.951854713,0.509169,2563,1305,16,1713,0.6243
low-gc-membuffers,1%,0.863500046,0.861215735,0.861146273,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,2%,0.92397806,0.932073863,0.932039866,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,3%,0.946292591,0.939028843,0.938998327,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,4%,0.94330244,0.965314727,0.965297367,0.512042,3654,1871,51,3183,1.3957
low-gc-membuffers,5%,0.990144304,0.976838086,0.976826494,0.512042,3654,1871,51,3183,1.3957
gdx-artemis,1%,0.770543356,0.825563671,0.825476365,0.570581,1686,962,35,1951,2.0759
gdx-artemis,2%,0.904288065,0.893272963,0.893219546,0.570581,1686,962,35,1951,2.0759
gdx-artemis,3%,0.90601535,0.929186948,0.929151507,0.570581,1686,962,35,1951,2.0759
gdx-artemis,4%,0.928846873,0.951467102,0.951442811,0.570581,1686,962,35,1951,2.0759
gdx-artemis,5%,0.967332306,0.960135292,0.96011534,0.570581,1686,962,35,1951,2.0759
java-jwt,1%,0.584872544,0.588505069,0.588299116,0.787281,456,359,54,422,11.8421
java-jwt,2%,0.721549167,0.729011006,0.728875376,0.787281,456,359,54,422,11.8421
java-jwt,3%,0.817799767,0.782332019,0.782223076,0.787281,456,359,54,422,11.8421
java-jwt,4%,0.875337003,0.833174749,0.833091253,0.787281,456,359,54,422,11.8421
java-jwt,5%,0.864323403,0.852892322,0.852818694,0.787281,456,359,54,422,11.8421
hashids-java,1%,0.512241938,0.566436475,0.566219476,0.631776,535,338,11,258,2.0561
hashids-java,2%,0.659987337,0.676776417,0.676614644,0.631776,535,338,11,258,2.0561
hashids-java,3%,0.659620852,0.674009374,0.673846216,0.631776,535,338,11,258,2.0561
hashids-java,4%,0.74194972,0.758958289,0.758837647,0.631776,535,338,11,258,2.0561
hashids-java,5%,0.769517119,0.779656325,0.779546043,0.631776,535,338,11,258,2.0561
stateless4j,1%,0.560940263,0.590581159,0.590376245,0.561782,696,391,61,864,8.7644
stateless4j,2%,0.725164395,0.750898953,0.750774278,0.561782,696,391,61,864,8.7644
