subject,y,x1,x2,x3,x4,x5,x6,x7,lnx1,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,neginvx1,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7
jprotobuf,0.890018117,0.01 ,0.337189,4496,1516,49,3015,1.0899,-4.605170186,-1.087111675,8.410943392,7.323830566,3.891820298,8.011355109,0.086085949,-100,-2.965695797,-0.00022242,-0.000659631,-0.020408163,-0.000331675,-0.917515368
jmxutils,0.836210105,0.01 ,0.564184,1893,1068,754,2284,39.831,-4.605170186,-0.57237484,7.545918151,6.97354302,6.625392368,7.733683571,3.684645504,-100,-1.772471392,-0.000528262,-0.00093633,-0.00132626,-0.000437828,-0.025106073
JActor,0.447614494,0.01 ,0.095861,1377,132,60,2413,4.3573,-4.605170186,-2.344856053,7.227662499,4.882801923,4.094344562,7.788626066,1.471852599,-100,-10.431771,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.22949992
brickhouse,0.750566995,0.01 ,0.049623,9411,467,30,8831,0.3188,-4.605170186,-3.003300843,9.149634497,6.146329258,3.401197382,9.086023537,-1.143191332,-100,-20.15194567,-0.000106259,-0.002141328,-0.033333333,-0.000113237,-3.136762861
JavaVerbalExpressions,0.586238918,0.01 ,0.786967,399,314,69,326,17.2932,-4.605170186,-0.239568963,5.988961417,5.749392986,4.234106505,5.786897381,2.850313361,-100,-1.270701313,-0.002506266,-0.003184713,-0.014492754,-0.003067485,-0.057826198
metrics-statsd,0.699153259,0.01 ,0.757353,408,309,11,310,2.6961,-4.605170186,-0.27792582,6.011267174,5.733341277,2.397895273,5.736572297,0.991806284,-100,-1.320388247,-0.00245098,-0.003236246,-0.090909091,-0.003225806,-0.370906124
rtree,0.868592417,0.01 ,0.737774,2147,1584,199,1806,9.2687,-4.605170186,-0.304117734,7.671826798,7.367708572,5.293304825,7.498869734,2.226643132,-100,-1.355428627,-0.000465766,-0.000631313,-0.005025126,-0.00055371,-0.107889995
java-uuid-generator,0.810089169,0.01 ,0.394311,2039,804,45,1764,2.207,-4.605170186,-0.930615341,7.620214771,6.689599269,3.80666249,7.475339237,0.791634127,-100,-2.536069245,-0.000490436,-0.001243781,-0.022222222,-0.000566893,-0.453103761
WorldGuard,0.779573979,0.01 ,0.043556,25875,1127,148,21845,0.572,-4.605170186,-3.133707812,10.16103253,7.027314514,4.997212274,9.991727341,-0.558616288,-100,-22.9589494,-3.86473E-05,-0.000887311,-0.006756757,-4.57771E-05,-1.748251748
gson-fire,0.727215507,0.01 ,0.688742,755,520,36,895,4.7682,-4.605170186,-0.372888534,6.626717749,6.253828812,3.583518938,6.796823718,1.561968875,-100,-1.451922491,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722747
pusher-websocket-java,0.793950435,0.01 ,0.578912,1470,851,204,1634,13.8776,-4.605170186,-0.546604799,7.29301768,6.746412129,5.318119994,7.398786275,2.630276029,-100,-1.727378254,-0.000680272,-0.001175088,-0.004901961,-0.000611995,-0.072058569
DiskLruCache,0.602692881,0.01 ,0.575499,1053,606,61,780,5.793,-4.605170186,-0.552517788,6.959398512,6.406879986,4.110873864,6.65929392,1.756650292,-100,-1.737622481,-0.000949668,-0.001650165,-0.016393443,-0.001282051,-0.17262213
jackson-dataformat-csv,0.869991863,0.01 ,0.317734,6795,2159,100,5242,1.4717,-4.605170186,-1.146540724,8.823942327,7.677400431,4.605170186,8.564458384,0.386418195,-100,-3.147286724,-0.000147167,-0.000463177,-0.01,-0.000190767,-0.679486308
scrypt,0.897195418,0.01 ,0.837418,1224,1025,22,467,1.7974,-4.605170186,-0.177431931,7.109879463,6.932447892,3.091042453,6.146329258,0.586341176,-100,-1.19414677,-0.000816993,-0.00097561,-0.045454545,-0.002141328,-0.556359185
redline-smalltalk,0.990747356,0.01 ,0.170641,10736,1832,43,5648,0.4005,-4.605170186,-1.768193345,9.281357859,7.513163545,3.761200116,8.639056779,-0.915041512,-100,-5.860256328,-9.31446E-05,-0.000545852,-0.023255814,-0.000177054,-2.496878901
clj-ds,0.897432608,0.01 ,0.069744,26626,1857,19,15521,0.0714,-4.605170186,-2.662923883,10.18964346,7.526717561,2.944438979,9.649949225,-2.63945741,-100,-14.33815095,-3.75573E-05,-0.000538503,-0.052631579,-6.44288E-05,-14.00560224
Liqp,0.953038639,0.01 ,0.454164,17410,7907,234,1876,1.3441,-4.605170186,-0.789296913,9.764800033,8.975503722,5.455321115,7.53689713,0.295724644,-100,-2.201847791,-5.74383E-05,-0.00012647,-0.004273504,-0.000533049,-0.743992262
la4j,0.969238516,0.01 ,0.549357,13372,7346,758,9096,5.6686,-4.605170186,-0.599006776,9.500918248,8.901911226,6.630683386,9.115590035,1.734942174,-100,-1.820309926,-7.47831E-05,-0.000136129,-0.001319261,-0.000109938,-0.176410401
wsdoc,0.922442409,0.01 ,0.639653,2073,1326,47,1598,2.2672,-4.605170186,-0.446829437,7.636752112,7.189922171,3.850147602,7.376508126,0.81854559,-100,-1.563347628,-0.000482393,-0.000754148,-0.021276596,-0.000625782,-0.441072689
spring-data-commons,0.968643316,0.01 ,0.613786,13666,8388,1035,14722,7.5735,-4.605170186,-0.488108946,9.522666275,9.034557392,6.942156706,9.597098253,2.024655312,-100,-1.629232338,-7.31743E-05,-0.000119218,-0.000966184,-6.79256E-05,-0.132039348
DotCi,0.903265887,0.01 ,0.220227,9245,2036,221,10038,2.3905,-4.605170186,-1.513096446,9.131838144,7.618742378,5.398162702,9.21413317,0.871502549,-100,-4.540769297,-0.000108167,-0.000491159,-0.004524887,-9.96214E-05,-0.418322527
apache-httpclient,0.97168734,0.01 ,0.360584449,5749,2073,869,26604,15.1157,-4.605170186,-1.020029094,8.656781206,7.636752112,6.767343125,10.18881686,2.715733939,-100,-2.77327545,-0.000173943,-0.000482393,-0.001150748,-3.75883E-05,-0.06615638
apache-mina,0.96847692,0.01 ,0.293984109,7929,2331,197,26869,2.4846,-4.605170186,-1.224229564,8.978282203,7.754052639,5.283203729,10.19872848,0.910111681,-100,-3.401544401,-0.000126119,-0.000429,-0.005076142,-3.72176E-05,-0.402479272
assertj-core,0.970371896,0.01 ,0.841250606,4126,3471,5737,14128,139.0451,-4.605170186,-0.172865678,8.325063694,8.152198016,8.654691705,9.555913923,4.934798341,-100,-1.188706425,-0.000242365,-0.000288101,-0.000174307,-7.07814E-05,-0.007191911
common-collection,0.962807948,0.01 ,0.36469316,7398,2698,13677,23713,184.8743,-4.605170186,-1.008698936,8.908964972,7.900266037,9.523470869,10.0737787,5.219676135,-100,-2.742031137,-0.000135172,-0.000370645,-7.31154E-05,-4.2171E-05,-0.005409081
common-io,0.965675003,0.01 ,0.765100671,3129,2394,965,8839,30.8405,-4.605170186,-0.267747858,8.048468744,7.780720886,6.872128101,9.086929027,3.428828761,-100,-1.307017544,-0.000319591,-0.000417711,-0.001036269,-0.000113135,-0.032424896
commons-compress,0.981540423,0.01 ,0.634262845,7746,4913,491,17888,6.3388,-4.605170186,-0.455291828,8.95493186,8.499640032,6.196444128,9.791885376,1.846689476,-100,-1.576633422,-0.000129099,-0.000203542,-0.00203666,-5.59034E-05,-0.157758566
JFreeChart,0.992472562,0.01 ,0.323307195,34942,11297,2256,98334,6.4564,-4.605170186,-1.12915234,10.46144482,9.332292483,7.721348613,11.49612513,1.865071887,-100,-3.093033547,-2.86189E-05,-8.85191E-05,-0.000443262,-1.01694E-05,-0.154885075
