subject,rSquare,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
nar-maven-plugin,0.981629841,4%,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,0.97917324,5%,0.09281,27928,2592,465,23665,1.665
xembly,0.796706165,1%,0.38895,2715,1056,57,1202,2.0994
xembly,0.905015606,2%,0.38895,2715,1056,57,1202,2.0994
xembly,0.936797679,3%,0.38895,2715,1056,57,1202,2.0994
xembly,0.959071796,4%,0.38895,2715,1056,57,1202,2.0994
xembly,0.956709772,5%,0.38895,2715,1056,57,1202,2.0994
dropwizard-guice,0.539669484,1%,0.509934,302,154,15,381,4.9669
dropwizard-guice,0.737329654,2%,0.509934,302,154,15,381,4.9669
dropwizard-guice,0.699426824,3%,0.509934,302,154,15,381,4.9669
dropwizard-guice,0.829663342,4%,0.509934,302,154,15,381,4.9669
dropwizard-guice,0.814067867,5%,0.509934,302,154,15,381,4.9669
jackson-datatype-joda,0.768011606,1%,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,0.884838682,2%,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,0.926769457,3%,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,0.942514214,4%,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,0.946404234,5%,0.556931,1212,675,73,1543,6.0231
cassandra-reaper,0.874985077,1%,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,0.940711649,2%,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,0.958170273,3%,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,0.962015317,4%,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,0.970907786,5%,0.245935,4981,1225,104,5444,2.0879
jmeter-maven-plugin,0.699213293,1%,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,0.836217287,2%,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,0.887057654,3%,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,0.905656931,4%,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,0.913244364,5%,0.264614,2241,593,57,1297,2.5435
jPopulator,0.75693026,1%,0.509338,1178,600,70,969,5.9423
jPopulator,0.840268172,2%,0.509338,1178,600,70,969,5.9423
jPopulator,0.900773287,3%,0.509338,1178,600,70,969,5.9423
jPopulator,0.929384411,4%,0.509338,1178,600,70,969,5.9423
jPopulator,0.939875791,5%,0.509338,1178,600,70,969,5.9423
geocluster-facet,0.709779485,1%,0.488449,606,296,15,553,2.4752
geocluster-facet,0.777073925,2%,0.488449,606,296,15,553,2.4752
geocluster-facet,0.864067835,3%,0.488449,606,296,15,553,2.4752
geocluster-facet,0.912956333,4%,0.488449,606,296,15,553,2.4752
geocluster-facet,0.942168519,5%,0.488449,606,296,15,553,2.4752
wsc,0.961607853,1%,0.094083,17931,1687,16,13016,0.0892
wsc,0.984208001,2%,0.094083,17931,1687,16,13016,0.0892
wsc,0.99219293,3%,0.094083,17931,1687,16,13016,0.0892
wsc,0.991255786,4%,0.094083,17931,1687,16,13016,0.0892
wsc,0.995405418,5%,0.094083,17931,1687,16,13016,0.0892
obd-java-api,0.630734105,1%,0.434673,796,346,42,1111,5.2764
obd-java-api,0.734263986,2%,0.434673,796,346,42,1111,5.2764
obd-java-api,0.8313739,3%,0.434673,796,346,42,1111,5.2764
obd-java-api,0.828901093,4%,0.434673,796,346,42,1111,5.2764
obd-java-api,0.865640738,5%,0.434673,796,346,42,1111,5.2764
sonar-objective-c,0.742533912,1%,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,0.831657408,2%,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,0.827014585,3%,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,0.887142713,4%,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,0.904915346,5%,0.256795,1067,274,31,1441,2.9053
spring-retry,0.852601704,1%,0.611063,2296,1403,185,2716,8.0575
spring-retry,0.927584541,2%,0.611063,2296,1403,185,2716,8.0575
