name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
gson-fire,0.865455966,2,0.692579505,283,196,37,895,13.07420495,16.645,-0.367332238,5.645446898,5.278114659,3.610917913,6.796823718,2.570641201,2.812109871,-1.443877551,-0.003533569,-0.005102041,-0.027027027,-0.001117318,-0.076486486,-0.060078102
java-uuid-generator,0.389434071,2,0.420144686,1797,755,46,1764,2.559821925,8.075,-0.867156138,7.493873887,6.626717749,3.828641396,7.475339237,0.939937696,2.088772869,-2.38013245,-0.000556483,-0.001324503,-0.02173913,-0.000566893,-0.390652174,-0.123839009
efflux,0.537850896,2,0.36755824,2318,852,42,3529,1.811906816,8.056,-1.000873497,7.748460024,6.747586527,3.737669618,8.168769824,0.59437978,2.086417155,-2.720657277,-0.000431406,-0.001173709,-0.023809524,-0.000283366,-0.551904762,-0.124131082
jitescript,0.884828801,2,0.089244851,437,39,7,1397,1.601830664,19.8415,-2.416371549,6.079933195,3.663561646,1.945910149,7.242082359,0.47114714,2.987775704,-11.20512821,-0.00228833,-0.025641026,-0.142857143,-0.00071582,-0.624285714,-0.050399415
patricia-trie,0.897972355,2,0.41221374,1441,594,18,2782,1.249132547,31.9215,-0.886213277,7.273092596,6.386879319,2.890371758,7.930925372,0.222449348,3.463279764,-2.425925926,-0.000693963,-0.001683502,-0.055555556,-0.000359454,-0.800555556,-0.031326849
greplin-bloom-filter,0.294644435,2,0.496522949,719,357,17,674,2.364394993,31.019,-0.700125576,6.577861358,5.877735782,2.833213344,6.513230111,0.860522172,3.43459992,-2.014005602,-0.001390821,-0.00280112,-0.058823529,-0.00148368,-0.422941176,-0.032238306
aho-corasick,0.8373538,2,0.759530792,341,259,32,499,9.384164223,51.753,-0.275054416,5.831882477,5.556828062,3.465735903,6.212606096,2.239023612,3.946482401,-1.316602317,-0.002932551,-0.003861004,-0.03125,-0.002004008,-0.1065625,-0.019322551
pusher-websocket-java,0.727694222,2,0.554054054,444,246,197,1634,44.36936937,53.992,-0.590493027,6.095824562,5.505331536,5.283203729,7.398786275,3.792549352,3.988835887,-1.804878049,-0.002252252,-0.004065041,-0.005076142,-0.000611995,-0.022538071,-0.018521262
scribe-java,0.705440923,2,0.426470588,408,174,100,2778,24.50980392,98.896,-0.852211875,6.011267174,5.159055299,4.605170186,7.929486523,3.199073198,4.594068793,-2.344827586,-0.00245098,-0.005747126,-0.01,-0.000359971,-0.0408,-0.010111632
xsoup,0.566851727,2,0.513285024,828,425,28,2031,3.381642512,142.729,-0.666923985,6.719013154,6.052089169,3.33220451,7.616283562,1.218361542,4.960947727,-1.948235294,-0.001207729,-0.002352941,-0.035714286,-0.000492368,-0.295714286,-0.007006285
jInstagram,0.587477375,2,0.052380952,630,33,74,3476,11.74603175,143.1945,-2.949212258,6.445719819,3.496507561,4.304065093,8.153637486,2.46351546,4.964203846,-19.09090909,-0.001587302,-0.03030303,-0.013513514,-0.000287687,-0.085135135,-0.006983508
metrics-statsd,0.769289032,2,0.606557377,61,37,12,310,19.67213115,111.638,-0.499955952,4.110873864,3.610917913,2.48490665,5.736572297,2.979202972,4.715261494,-1.648648649,-0.016393443,-0.027027027,-0.083333333,-0.003225806,-0.050833333,-0.008957523
dropwizard-guice,0.337936566,2,0.788461538,104,82,16,381,15.38461538,110.286,-0.237671652,4.644390899,4.406719247,2.772588722,5.942799375,2.733368009,4.703076992,-1.268292683,-0.009615385,-0.012195122,-0.0625,-0.002624672,-0.065,-0.009067334
gelfj,0.401156506,2,0.246220302,463,114,21,1120,4.535637149,72.41,-1.401528606,6.137727054,4.736198448,3.044522438,7.021083964,1.51196557,4.282344411,-4.061403509,-0.002159827,-0.00877193,-0.047619048,-0.000892857,-0.22047619,-0.013810247
