name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
scribe-java,0.766470727,2,0.426470588,408,174,100,2778,24.50980392,98.896,-0.852211875,6.011267174,5.159055299,4.605170186,7.929486523,3.199073198,4.594068793,-2.344827586,-0.00245098,-0.005747126,-0.01,-0.000359971,-0.0408,-0.010111632
xsoup,0.877091233,2,0.513285024,828,425,28,2031,3.381642512,142.729,-0.666923985,6.719013154,6.052089169,3.33220451,7.616283562,1.218361542,4.960947727,-1.948235294,-0.001207729,-0.002352941,-0.035714286,-0.000492368,-0.295714286,-0.007006285
jInstagram,0.581323117,2,0.052380952,630,33,74,3476,11.74603175,143.1945,-2.949212258,6.445719819,3.496507561,4.304065093,8.153637486,2.46351546,4.964203846,-19.09090909,-0.001587302,-0.03030303,-0.013513514,-0.000287687,-0.085135135,-0.006983508
metrics-statsd,0.63336917,2,0.606557377,61,37,12,310,19.67213115,111.638,-0.499955952,4.110873864,3.610917913,2.48490665,5.736572297,2.979202972,4.715261494,-1.648648649,-0.016393443,-0.027027027,-0.083333333,-0.003225806,-0.050833333,-0.008957523
dropwizard-guice,0.757362874,2,0.788461538,104,82,16,381,15.38461538,110.286,-0.237671652,4.644390899,4.406719247,2.772588722,5.942799375,2.733368009,4.703076992,-1.268292683,-0.009615385,-0.012195122,-0.0625,-0.002624672,-0.065,-0.009067334
gelfj,0.733253874,2,0.246220302,463,114,21,1120,4.535637149,72.41,-1.401528606,6.137727054,4.736198448,3.044522438,7.021083964,1.51196557,4.282344411,-4.061403509,-0.002159827,-0.00877193,-0.047619048,-0.000892857,-0.22047619,-0.013810247
wsc,0.992013709,2,0.090742172,10348,939,17,13016,0.164282953,35.772,-2.399733064,9.244548543,6.844815479,2.833213344,9.473934649,-1.806165013,3.577165464,-11.02023429,-9.66E-05,-0.001064963,-0.058823529,-7.68E-05,-6.087058824,-0.027954825
sonar-objective-c,0.623679484,2,0.162857143,350,57,32,1441,9.142857143,35.824,-1.814881887,5.857933154,4.043051268,3.465735903,7.273092596,2.212972934,3.57861806,-6.140350877,-0.002857143,-0.01754386,-0.03125,-0.000693963,-0.109375,-0.027914247
Confucius,0.642083448,2,0.84057971,138,116,85,503,61.5942029,40.429,-0.173663494,4.927253685,4.753590191,4.442651256,6.22059017,4.120567757,3.699547349,-1.189655172,-0.007246377,-0.00862069,-0.011764706,-0.001988072,-0.016235294,-0.02473472
JActor,0.785324302,2,0.394174757,515,203,61,2413,11.84466019,40.547,-0.930960922,6.244166901,5.313205979,4.110873864,7.788626066,2.47187715,3.702461795,-2.536945813,-0.001941748,-0.004926108,-0.016393443,-0.000414422,-0.08442623,-0.024662737
protoparser,0.929157951,2,0.504075235,1595,804,167,2115,10.47021944,68.343,-0.685029746,7.374629015,6.689599269,5.117993812,7.656810091,2.348534983,4.224539144,-1.983830846,-0.000626959,-0.001243781,-0.005988024,-0.000472813,-0.095508982,-0.014632076
multi-thread-context,0.527106072,2,0.239361702,188,45,32,580,17.0212766,91.4615,-1.429779473,5.236441963,3.80666249,3.465735903,6.363028104,2.834464126,4.515918119,-4.177777778,-0.005319149,-0.022222222,-0.03125,-0.001724138,-0.05875,-0.010933562
mimecraft,0.598643418,2,0.708333333,120,85,15,394,12.5,92.962,-0.344840486,4.787491743,4.442651256,2.708050201,5.976350909,2.525728644,4.532190808,-1.411764706,-0.008333333,-0.011764706,-0.066666667,-0.002538071,-0.08,-0.010757084
stateless4j,0.680791432,2,0.454954955,222,101,62,864,27.92792793,63.2415,-0.787556865,5.402677382,4.615120517,4.127134385,6.761572769,3.329627189,4.146960731,-2.198019802,-0.004504505,-0.00990099,-0.016129032,-0.001157407,-0.035806452,-0.015812402
jumblr,0.694593187,2,0.447949527,317,142,104,1494,32.80757098,64.472,-0.803074716,5.758901774,4.955827058,4.644390899,7.309212366,3.490659311,4.166231021,-2.232394366,-0.003154574,-0.007042254,-0.009615385,-0.000669344,-0.030480769,-0.015510609
exp4j,0.865950803,2,0.840191388,1045,878,286,1086,27.36842105,39.254,-0.174125571,6.951772164,6.777646594,5.655991811,6.9902565,3.309389832,3.67005335,-1.190205011,-0.000956938,-0.001138952,-0.003496503,-0.00092081,-0.036538462,-0.025475111
linq4j,0.952350757,2,0.32454733,4363,1416,222,14307,5.088242035,15.6825,-1.125323899,8.380915173,7.255591274,5.402677382,9.568504207,1.626932395,2.752545441,-3.081214689,-0.0002292,-0.000706215,-0.004504505,-6.99E-05,-0.196531532,-0.063765344
jPopulator,0.823902789,2,0.593147752,467,277,70,969,14.98929336,15.543,-0.522311751,6.146329258,5.624017506,4.248495242,6.876264612,2.70733617,2.743610377,-1.685920578,-0.002141328,-0.003610108,-0.014285714,-0.001031992,-0.066714286,-0.064337644
