name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
JavaVerbalExpressions,0.775359873,1,0.786967419,399,314,69,326,17.29323308,32.581,-0.239568431,5.988961417,5.749392986,4.234106505,5.786897381,2.850315274,3.483729296,-1.270700637,-0.002506266,-0.003184713,-0.014492754,-0.003067485,-0.057826087,-0.030692735
jenkins-ansicolor-plugin,0.762687783,1,0.413857678,534,221,26,500,4.868913858,7.921,-0.882233137,6.280395839,5.398162702,3.258096538,6.214608098,1.582870885,2.06951746,-2.416289593,-0.001872659,-0.004524887,-0.038461538,-0.002,-0.205384615,-0.126246686
jgrapht,0.986984319,1,0.541019956,10373,5612,152,12511,1.465342717,144.084,-0.614299114,9.246961555,8.632662441,5.023880521,9.434363536,0.382089151,4.970396463,-1.848360656,-9.64E-05,-0.00017819,-0.006578947,-7.99E-05,-0.682434211,-0.006940396
jInstagram,0.582531073,1,0.076989996,2299,177,74,3476,3.218790779,31.642,-2.564079792,7.740229525,5.176149733,4.304065093,8.153637486,1.169005754,3.454485352,-12.98870057,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310675676,-0.031603565
jitescript,0.814699387,1,0.219973009,1482,326,14,1397,0.944669366,7.359,-1.514250424,7.301147806,5.786897381,2.63905733,7.242082359,-0.05692029,1.995924054,-4.54601227,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058571429,-0.135888028
jmeter-maven-plugin,0.852973019,1,0.264614012,2241,593,57,1297,2.543507363,39.482,-1.329483075,7.714677474,6.385194399,4.043051268,7.167809184,0.93354398,3.675844872,-3.779089376,-0.000446229,-0.001686341,-0.01754386,-0.00077101,-0.393157895,-0.025327998
jmxutils,0.94293633,1,0.564183835,1893,1068,754,2284,39.83095615,546.533,-0.572375132,7.545918151,6.97354302,6.625392368,7.733683571,3.684644403,6.30359469,-1.77247191,-0.000528262,-0.00093633,-0.00132626,-0.000437828,-0.025106101,-0.001829716
jPopulator,0.881563333,1,0.509337861,1178,600,70,969,5.942275042,52.137,-0.674643709,7.071573364,6.396929655,4.248495242,6.876264612,1.782092064,3.953874869,-1.963333333,-0.000848896,-0.001666667,-0.014285714,-0.001031992,-0.168285714,-0.019180237
jprotobuf,0.952185356,1,0.337188612,4496,1516,49,3015,1.089857651,33.77,-1.087112825,8.410943392,7.323830566,3.891820298,8.011355109,0.086047093,3.519572834,-2.965699208,-0.00022242,-0.000659631,-0.020408163,-0.000331675,-0.91755102,-0.029612082
jsemver,0.939128651,1,0.833623188,1725,1438,202,1441,11.71014493,146.412,-0.181973791,7.452982329,7.271008538,5.308267697,7.273092596,2.460455554,4.986424565,-1.199582754,-0.00057971,-0.00069541,-0.004950495,-0.000693963,-0.08539604,-0.006830041
jumblr,0.858977087,1,0.516047297,1184,611,103,1494,8.699324324,81.569,-0.661556856,7.076653815,6.415096959,4.634728988,7.309212366,2.163245359,4.401449288,-1.937806874,-0.000844595,-0.001636661,-0.009708738,-0.000669344,-0.114951456,-0.012259559
kafka-spout,0.78737931,1,0.820754717,424,348,51,477,12.02830189,31.329,-0.197530975,6.049733455,5.85220248,3.931825633,6.167516491,2.487262363,3.444544186,-1.218390805,-0.002358491,-0.002873563,-0.019607843,-0.002096436,-0.083137255,-0.031919308
kryo-serializers,0.910781327,1,0.627602159,1297,814,154,1564,11.87355436,135.907,-0.465848818,7.167809184,6.701960366,5.036952602,7.355001921,2.474313604,4.911970828,-1.593366093,-0.00077101,-0.001228501,-0.006493506,-0.000639386,-0.084220779,-0.007357973
la4j,0.988859243,1,0.549356865,13372,7346,758,9096,5.668561173,651.336,-0.599007021,9.500918248,8.901911226,6.630683386,9.115590035,1.734935324,6.479025638,-1.820310373,-7.48E-05,-0.000136129,-0.001319261,-0.000109938,-0.176411609,-0.001535306
LastCalc,0.97235695,1,0.391409194,6635,2597,34,4594,0.512434062,30.755,-0.938001735,8.800113947,7.862112212,3.526360525,8.432506383,-0.668583236,3.426052583,-2.554871005,-0.000150716,-0.00038506,-0.029411765,-0.000217675,-1.951470588,-0.032515038
linq4j,0.984680598,1,0.375483284,13191,4953,221,14307,1.675384732,209.493,-0.979541325,9.487290058,8.507748733,5.398162702,9.568504207,0.51604283,5.344690326,-2.663234403,-7.58E-05,-0.000201898,-0.004524887,-6.99E-05,-0.596877828,-0.004773429
Liqp,0.989943721,1,0.454164273,17410,7907,234,1876,1.344055141,210.864,-0.789296311,9.764800033,8.975503722,5.455321115,7.53689713,0.295691269,5.351213376,-2.201846465,-5.74E-05,-0.00012647,-0.004273504,-0.000533049,-0.744017094,-0.004742393
low-gc-membuffers,0.948277926,1,0.512041598,3654,1871,51,3183,1.395730706,41.536,-0.669349411,8.203577737,7.534228326,3.931825633,8.065579427,0.333418082,3.726560521,-1.952966328,-0.000273673,-0.000534474,-0.019607843,-0.000314169,-0.716470588,-0.024075501
metrics-statsd,0.841854369,1,0.757352941,408,309,11,310,2.696078431,7.104,-0.277925898,6.011267174,5.733341277,2.397895273,5.736572297,0.991798284,1.960658006,-1.32038835,-0.00245098,-0.003236246,-0.090909091,-0.003225806,-0.370909091,-0.140765766
mimecraft,0.808545064,1,0.784511785,297,233,14,394,4.713804714,7.308,-0.242693685,5.693732139,5.451038454,2.63905733,5.976350909,1.550495377,1.988969639,-1.274678112,-0.003367003,-0.004291845,-0.071428571,-0.002538071,-0.212142857,-0.136836344
multi-thread-context,1,1,0.034883721,258,9,31,580,12.01550388,15.704,-3.355735008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197806,2.753915457,-28.66666667,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225806,-0.063678044
nar-maven-plugin,0.966375386,1,0.092810083,27928,2592,465,23665,1.664995703,410.919,-2.377199991,10.23738505,7.860185057,6.142037406,10.07175244,0.509822543,6.018396115,-10.77469136,-3.58E-05,-0.000385802,-0.002150538,-4.23E-05,-0.600602151,-0.00243357
obd-java-api,0.77599422,1,0.434673367,796,346,42,1111,5.27638191,27.031,-0.833160411,6.679599186,5.846438775,3.737669618,7.01301579,1.663240618,3.296984356,-2.300578035,-0.001256281,-0.002890173,-0.023809524,-0.00090009,-0.18952381,-0.036994562
parsii,0.957632184,1,0.509168943,2563,1305,16,1713,0.624268435,12.769,-0.674975407,7.848933726,7.17395832,2.772588722,7.446001498,-0.471174818,2.547020358,-1.963984674,-0.000390168,-0.000766284,-0.0625,-0.000583771,-1.601875,-0.078314668
patricia-trie,0.960181002,1,0.441108545,3031,1337,17,2782,0.560871,14.327,-0.8184643,8.016647877,7.198183577,2.833213344,7.930925372,-0.578264347,2.662145869,-2.267015707,-0.000329924,-0.000747943,-0.058823529,-0.000359454,-1.782941176,-0.069798283
PauselessHashMap,0.877558442,1,0.51284491,1051,539,1550,958,147.4785918,959.642,-0.6677818,6.957497371,6.289715571,7.34601021,6.864847778,4.993683025,6.866560298,-1.949907236,-0.000951475,-0.001855288,-0.000645161,-0.001043841,-0.006780645,-0.001042055
PMD-core,0.987418046,1,0.24002563,23410,5619,458,20958,1.956428877,432.729,-1.427009569,10.06091856,8.633908991,6.126869184,9.950275714,0.67112081,6.070111666,-4.166221748,-4.27E-05,-0.000177968,-0.002183406,-4.77E-05,-0.511135371,-0.002310915
pollexor,0.876245684,1,0.848928974,887,753,58,592,6.538895152,42.676,-0.163779755,6.787844982,6.624065228,4.060443011,6.383506635,1.877768214,3.753636701,-1.177954847,-0.001127396,-0.001328021,-0.017241379,-0.001689189,-0.152931034,-0.023432374
protoparser,0.976861238,1,0.720659341,4550,3279,166,2115,3.648351648,149.011,-0.327588735,8.422882512,8.095293777,5.111987788,7.656810091,1.294275462,5.004020129,-1.387618176,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274096386,-0.006710914
pusher-websocket-java,0.887364277,1,0.578911565,1470,851,204,1634,13.87755102,134.279,-0.546605551,7.29301768,6.746412129,5.318119994,7.398786275,2.6302725,4.899919725,-1.727379553,-0.000680272,-0.001175088,-0.004901961,-0.000611995,-0.072058824,-0.007447181
raml-java-parser,0.98264154,1,0.708967571,6044,4285,190,8217,3.143613501,162.319,-0.343945492,8.706821323,8.362875831,5.247024072,9.013960458,1.145372935,5.089563535,-1.41050175,-0.000165453,-0.000233372,-0.005263158,-0.000121699,-0.318105263,-0.006160708
redline,0.963050031,1,0.34019752,4759,1619,41,3809,0.861525531,28.622,-1.078228887,8.467792841,7.389563954,3.713572067,8.245121966,-0.149050588,3.354175653,-2.939468808,-0.000210128,-0.000617665,-0.024390244,-0.000262536,-1.160731707,-0.034938159
redline-smalltalk,0.976031114,1,0.170640835,10736,1832,43,5648,0.40052161,16.554,-1.768194314,9.281357859,7.513163545,3.761200116,8.639056779,-0.914987558,2.806627764,-5.860262009,-9.31E-05,-0.000545852,-0.023255814,-0.000177054,-2.496744186,-0.060408361
RestFixture,0.962297008,1,0.682205972,3282,2239,268,3106,8.16575259,235.369,-0.382423655,8.096208272,7.713784617,5.590986981,8.041091004,2.099948895,5.461154495,-1.465832961,-0.000304692,-0.000446628,-0.003731343,-0.000321958,-0.122462687,-0.004248648
rome,0.986739396,1,0.456866033,10734,4904,475,11704,4.425190982,419.227,-0.783365075,9.281171553,8.497806478,6.163314804,9.367685943,1.487313437,6.038412539,-2.188825449,-9.32E-05,-0.000203915,-0.002105263,-8.54E-05,-0.225978947,-0.002385343
rtree,0.938082702,1,0.737773638,2147,1584,199,1806,9.268747089,142.153,-0.304118226,7.671826798,7.367708572,5.293304825,7.498869734,2.226648213,4.956903942,-1.355429293,-0.000465766,-0.000631313,-0.005025126,-0.00055371,-0.107889447,-0.007034674
